,name,album,artist,release date,length,popularity,lyrics
0,Ride Captain Ride,Open (US Internet Release),Blues Image,1970,225560,54,"

{Intro}

Seventy-three men sailed up from the San Francisco Bay
Rolled off of their ship, and here's what they had to say
""We're callin' everyone to ride along to another shore
We can laugh our lives away and be free once more""

But no one heard them callin', no one came at all
Cause they were too busy watchin' those old raindrops fall
As a storm was blowin' out on the peaceful sea
Seventy-three men sailed off to history

Ride, captain ride upon your mystery ship
Be amazed at the friends you have here on your trip
Ride captain ride upon your mystery ship
On your way to a world that others might have missed

{Bridge}

Seventy-three men sailed up from the San Francisco Bay
Rolled off of their ship, and here's what they had to say
""We're callin' everyone to ride along to another shore
We can laugh our lives away and be free once more""

But no one heard them callin', no one came at all
Cause they were too busy watchin' those old raindrops fall
As a storm was blowin' out on the peaceful sea
Seventy-three men sailed off to history

Ride, captain ride upon your mystery ship
Be amazed at the friends you have here on your trip
Ride captain ride upon your mystery ship
On your way to a world that others might have missed

Ride, captain ride upon your mystery ship
Be amazed at the friends you have here on your trip

{Outro}

"
1,Night Moves,Night Moves,Bob Seger,1976-10-22,324422,70,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
2,The Fire Down Below,Night Moves,Bob Seger,1976-10-22,267172,50,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
3,Mainstreet,Night Moves,Bob Seger,1976-10-22,223089,57,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
4,Sunspot Baby,Night Moves,Bob Seger,1976-10-22,276527,48,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
5,Rock And Roll Never Forgets,Night Moves,Bob Seger,1976-10-22,232356,51,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
6,Hollywood Nights,Stranger In Town,Bob Seger,1978-05-05,302626,61,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
7,Still The Same,Stranger In Town,Bob Seger,1978-05-05,203546,63,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
8,Old Time Rock & Roll,Stranger In Town,Bob Seger,1978-05-05,194146,73,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
9,Till It Shines,Stranger In Town,Bob Seger,1978-05-05,234360,43,"

[Intro]
I was a little too tall
Could've used a few pounds
Tight pants points hardly renown
She was a black haired beauty with big dark eyes
And points all her own, sitting way up high

[Chorus]
Way up firm and high
Out past the cornfields where the woods got heavy
Out in the back seat of my '60 Chevy
Workin' on mysteries without any clues
Workin' on our night moves
Trying' to make some front page drive-in news
Workin' on our night moves in the summertime
In the sweet summertime

We weren't in love oh no far from it
We weren't searchin’ for some pie in the sky summit
We were just young and restless and bored
Living by the sword
And we'd steal away every chance we could
To the backroom, the alley, the trusty woods
I used her she used me
But neither one cared
We were getting our share

Workin' on our night moves
Trying to lose the awkward teenage blues
Workin' on our night moves
And it was summertime
Mhm, sweet summer time, summer time

[Bridge]
And oh the wonder
Felt the lightning
And we waited on the thunder
Waited on the thunder

I woke last night to the sound of thunder
How far off I sat and wondered
Started humming a song from 1962
Ain't it funny how the night moves
When you just don't seem to have as much to lose
Strange how the night moves
With autumn closing in

[Outro]
Night Moves
Night moves (night moves)
Night moves (night moves)
Yeah, Remember, night moves
Sure do remember those night moves (night moves)
Ain't it funny how you remember (night moves)
Funny how you remember the night moves
I remember, I remember, I remember, I remember night whoa, whoa
It's works, working and practicing
Oh, on the night moves
Working and practicing....

"
