,name,album,artist,release date,length,popularity,lyrics
0,Upside Down,Diana,Diana Ross,1980-05-22,244826,65,"

[Intro]
I said, ""Upside down, you're turning me.""
You're giving love instinctively
'Round and 'round, you're turning me

[Chorus]
Upside down
Boy, you turn me inside out
And 'round and 'round
Upside down
Boy, you turn me inside out
And 'round and 'round

[Verse 1]
Instinctively, you give to me the love that I need
I cherish the moments with you
Respectfully, I say to thee
I'm aware that you're cheating
When no one makes me feel like you do

[Chorus]
Upside down
Boy, you turn me inside out
And 'round and 'round
Upside down
Boy, you turn me inside out
And 'round and 'round

[Verse 2]
I know you got charm and appeal
You always play the field
I'm crazy to think you're all mine
As long as the sun continues to shine
There's a place in my heart for you, that's the bottom line

[Chorus]
Upside down
Boy, you turn me inside out
And 'round and 'round
Upside down
Boy, you turn me inside out
And 'round and 'round

[Verse 1]
Instinctively, you give to me the love that I need
I cherish the moments with you
Respectfully, I say to thee
I'm aware that you're cheating
But no one makes me feel like you do

[Chorus]
Upside down
Boy, you turn me inside out
And 'round, 'round
Upside down
Boy, you turn me inside out
And 'round and 'round
Upside down
Boy, you turn me inside out
And 'round and 'round
Upside down
Boy, you turn me inside out
And 'round, 'round

[Outro]
Upside down, you're turning me
You're giving love instinctively
""'Round and 'round, you're turning me.""
I say to thee, respectfully
Upside down, you're turning me
You're giving love instinctively
""Around and around, you're turning me.""
I say to thee, respectfully
I said, ""Upside down, you're turning me.""
You're giving love instinctively
Around and around, you're turning me
I say to thee, respectfully
Upside down, you're turning me
You're giving love instinctively
""'Round and 'round, you're turning me.""
I say to thee, respectfully
Upside down, you're turning me

"
1,Celebration,Celebrate!,Kool & The Gang,1980-09-29,298866,69,"

[Intro]
(This is your celebration)
(This is your celebration)
Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (Let's celebrate)

[Verse 1]
There's a party goin' on right here
A celebration to last throughout the years
So bring your good times and your laughter too
We gonna celebrate your party with you
Come on now

[Hook]
(Celebration) Let's all celebrate and have a good time
(Celebration) We gon' celebrate and have a good time

[Bridge 1]
It's time to come together
It's up to you, what's your pleasure?
(Everyone around the world come on)

[Pre-Hook]
(Yahoo) It's a celebration
(Yahoo)

[Hook]
Celebrate good times, come on (It's a celebration)
Celebrate good times, come on (Let's celebrate)

[Verse 2]
There's a party goin' on right here
A dedication to last throughout the years
So bring your good times and your laughter too
We gonna celebrate and party with you
Come on now

[Hook]
(Celebration) Let's all celebrate and have a good time
(Celebration) We gon' celebrate and have a good time

[Bridge 1]
It's time to come together
It's up to you, what's your pleasure?
(Everyone around the world come on)

[Pre-Hook]
(Yahoo) It's a celebration
(Yahoo) It's a celebration

[Hook]
Celebrate good times, come on (Let's celebrate, come on now)
Celebrate good times, come on (Let's celebrate)

[Bridge 2]
We're gonna have a good time tonight
Let's celebrate, it's all right
We're gonna have a good time tonight
Let's celebrate, it's all right, baby
We're gonna have a good time tonight (Celebration)
Let's celebrate, it's all right
We're gonna have a good time tonight (Celebration)
Let's celebrate, it's all right

[Pre-Hook]
(Yahoo)
(Yahoo)

[Hook]
Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (It's a celebration)
Celebrate good times, come on (Let's celebrate)
Celebrate good times, come on (Come on and celebrate tonight)
(Baby everything's gonna be alright, let's celebrate)
Celebrate good times, come on
Celebrate good times, come on (Let's have a great time, celebrate)
Celebrate good times, come on

"
2,Call Me,Atomic/Atomix,Blondie,1999-01-01,212600,71,"

[Intro]​

[Verse 1]
Colour me your colour, baby
Colour me your car
Colour me your colour, darling
I know who you are
Come up off your colour chart
I know where you are coming from

[Chorus]
Call me (Call me) on the line
Call me, call me any, anytime
Call me (Call me) I'll arrive
You can call me any day or night
Call me

[Verse 2]​
Cover me with kisses, baby
Cover me with love
Roll me in designer sheets
I'll never get enough
Emotions come, I don't know why
Cover up love's alibi

[Chorus]
Call me (Call me) on the line
Call me, call me any, anytime
Call me (Call me) I'll arrive
When you are ready we can share the wine
Call me

[​​Bridge]​​
Oooh, he speaks the languages of love
Oooh, amore, chiamami, chiamami
Oooh, appelle-moi mon cheri, appelle-moi
Anytime, anyplace, anywhere, any way
Anytime, anyplace, anywhere, any day, any way

[Instrumental ​​Bridge]​​

[Verse 3]
Take me out and show me off
And put me on the scene
Dress me in the fashions
Of the 1980's
You're a man, no in-between
You know what your words can mean

[Chorus]
Call me (Call me) on the line
Call me, call me any day or night
Call me (Call me) I'll arrive
Call me, call me into overtime
Call me

[Instrumental ​​Bridge]

[Chorus]
Call me (Call me) my love
Call me, call me any, anytime
Call me (Call me) for a ride
Call me, call me for some overtime
Call me (Call me) my love
Call me, call me in a sweet design
Call me (Call me), call me for your lover's lover's alibi
Call me (Call me) on the line
Call me, call me any, anytime

[Breakdown]
Call me, ah-ha, call me, ah-ha-ha
Call me, ah-ha-ha, call me any day or night
Call me, ooh-ooh-ah-ha-ha, ooh-ooh-ha-ha-ha
Call me, ah-ah-ooh
Call me, my, my sleek designs
Call me for a ride, call me inside
Call me, all night, all day, ah-ha
Call me
Ooh-ooh-ooh-ooh-ah-ah-ah

[Guitar Solo]

[Outro]
Call me in my life
Call me, call me any, any time
Call me, I'll arrive
Call me, call me for some overtime
Call me in my life
Call me, call me and my sleek designs
Call me, call me for your lover's lover's alibi
Call me in my life
Call me, call me any, any time
Ooh-ooh-ooh
Call me, oh-oh, call me
Call me in my life
Call me, call me any, any time

"
3,Super Trouper,Super Trouper,ABBA,1980,252853,72,"

[Intro: Frida & Agnetha]
Super Trouper beams are gonna blind me
But I won't feel blue
Like I always do
'Cause somewhere in the crowd, there's you

[Verse 1: Frida]
I was sick and tired of everything
When I called you last night from Glasgow
All I do is eat and sleep and sing
Wishing every show was the last show
(Wishing every show was the last show)

[Pre-Chorus: Frida]
So imagine I was glad to hear you're coming
(Glad to hear you're coming)
Suddenly I feel all right
(And suddenly it's gonna be)
And it's gonna be so different
When I'm on the stage tonight

[Chorus: Frida & Agnetha, Benny & Björn]
Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you

[Verse 2: Frida]
Facing twenty thousand of your friends
How can anyone be so lonely?
Part of a success that never ends
Still, I'm thinking about you only
(Still, I'm thinking about you only)

[Pre-Chorus: Frida]
There are moments when I think I'm going crazy
(Think I'm going crazy)
But it's gonna be all right
(You'll soon be changing everything)
Everything will be so different
When I'm on the stage tonight

[Chorus: Frida & Agnetha, Benny & Björn]
Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you

[Bridge: Frida]
So I'll be there when you arrive
The sight of you will prove to me I'm still alive
And when you take me in your arms and hold me tight
I know it's gonna mean so much tonight

[Chorus: Frida & Agnetha, Benny & Björn]
Tonight, the Super Trouper lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do (Sup-p-per Troup-p-per)
'Cause somewhere in the crowd there's you

[Outro: Frida & Agnetha, Benny & Björn]
(Sup-p-per Troup-p-per) Lights are gonna find me
Shining like the sun (Sup-p-per Troup-p-per)
Smiling, having fun (Sup-p-per Troup-p-per)
Feeling like a number one
Tonight, the Super Trouper beams are gonna blind me
But I won't feel blue
But I won't feel blue (Sup-p-per Troup-p-per)
Like I always do… (Sup-p-per Troup-p-per)

"
4,D.I.S.C.O - English Version,The Best Of,Ottawan,2011-07-25,196506,19,"

D.I.S.C.O
D.I.S.C.O
D.I.S.C.O
D.I.S.C.O

She is disco

She is D, delirious
She is I, incredible
She is S, superficial
She is C, complicated
She is O, oh, oh, oh

She is D, desirable
She is I, irresistible
She is S, super sexy
She is C, such a cutie
She is O, oh, oh, oh

D.I.S.C.O
D.I.S.C.O
D.I.S.C.O
D.I.S.C.O

She is disco

She is D, disasters
She is I, impossible
She is S, super special
She is C, crazy, crazy
She is O, oh, oh, oh

She is D, delightful
She is I, incredible
She is S, sensational
She is C, sweetest candy
She is O, oh, oh, oh

D.I.S.C.O

She is disco

She is D, delirious
She is I, incredible
She is S, superficial
She is C, complicated
She is O, oh, oh, oh

She is D, desirable
She is I, irresistible
She is S, super sexy
She is C, such a cutie
She is O, oh, oh, oh

D.I.S.C.O...

"
5,Crazy Little Thing Called Love - Remastered 2011,The Game (2011 Remaster),Queen,1980-06-27,163373,73,"

[Chorus]
This thing called love, I just can't handle it
This thing called love, I must get 'round to it
I ain't ready
Crazy little thing called love

[Verse 1]
This thing (This thing)
Called love (Called love)
It cries (Like a baby)
In a cradle all night
It swings (Woo woo)
It jives (Woo woo)
It shakes all over like a jellyfish
I kinda like it
Crazy little thing called love

[Bridge]
There goes my baby
She knows how to rock 'n' roll
She drives me crazy
She gives me hot and cold fever
Then she leaves me in a cool cool sweat

[Verse 2]
I gotta be cool, relax, get hip
And get on my tracks
Take a back seat, hitch-hike
And take a long ride on my motorbike
Until I'm ready
Crazy little thing called love

[Verse 3]
I gotta be cool, relax, get hip
And get on my tracks
Take a back seat (Ah hum), hitch-hike (Ah hum)
And take a long ride on my motorbike
Until I'm ready (Ready Freddie)
Crazy little thing called love

[Chorus]
This thing called love, I just can't handle it
This thing called love, I must get 'round to it
I ain't ready (Ooh ooh ooh ooh)

[Outro]
Crazy little thing called love
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah
Crazy little thing called love, yeah, yeah

"
6,Everybody Needs Somebody to Love,The Blues Brothers Original Motion Picture Soundtrack,The Blues Brothers,1980,203453,61,"

[Intro: Elwood]
We’re so glad to see so many of you lovely people here tonight
And we would especially like to welcome all of the representatives of the Illinois Law enforcement community, who have chosen to join us here in the Palace Hotel Ballroom at this time
We do sincerely hope that you all enjoy the show and please remember people, that no matter who you are and what you do to live, thrive and survive
There are still some things that make us all the same:
You, me, them
Everybody! Everybody!

[Chorus: Jake, Elwood & Both]
Everybody needs somebody
Everybody needs somebody to love
Someone to love (Someone to love)
Sweetheart to miss (Sweetheart to miss)
Sugar to kiss (Sugar to kiss)
I need you, you, you
I need you, you, you
I need you, you, you in the morning
You, you, you when my soul’s on fire

[Post-Chorus: Jake]
Sometimes I feel
I feel a little sad inside
When my baby mistreats me, I never never have a place to hide, I need you!

[Instrumental]

[Bridge: Jake]
Sometimes I feel
I feel a little sad inside
When my baby mistreats me, I never never have a place to hide, I need you!
I need you, (you) you, you
I need you, (you) you, you
I need you, (you) you, you
I need you, (you) you, you
I need you, (you) you, you

[Interlude: Elwood]
You know, people, when you do find somebody
Hold that woman, hold that man
Love him, please him, squeeze her, please her
Hold, squeeze and please that person, give 'em all your love
Signify your feelings with every gentle caress
Because it’s so important to have that special somebody
To hold kiss, miss, squeeze, and please

[Chorus: Jake & Choir]
Everybody needs somebody
Everybody needs somebody to love (Everybody)
Someone to love (Needs somebody)
Sweetheart to miss (Everybody)
Sugar to kiss (Needs somebody)

[Post-Chorus: Jake]
I need you, you, you
I need you, you, you
I need you, you, you
I need you, you, you
I need you, you, you
I need you, you, you
I need you, you, you
I need you, you, you
In the morning
When my soul’s on fire
When there ain't no one around

[Outro: Jake]
I need you, you, you, you
I need you, you, you, you
I need you, you
I need you!

"
7,On The Radio,On The Radio: Greatest Hits Volumes I & II,Donna Summer,1979-10-15,241506,59,"

[Verse 1]
Someone found a letter you wrote me on the radio
And they told the world just how you felt
It must have fallen out of a hole in your old brown overcoat
They never said your name but I knew just who they meant

[Pre-Chorus]
Whoa-oh-oh-oh-oh
I was so surprised and shocked, and I wondered too
If, by chance, you heard it for yourself
I never told a soul just how I've been feeling over you
But they said it really loud, they said it on the air

[Chorus]
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh

[Verse 2]
Now, now, don't it kinda strike you sad when you hear our song
Things are not the same since we broke up last June
The only thing that I wanna hear is that you love me still
And that you think you'll be comin' home real soon

[Pre-Chorus]
Whoa-oh-oh-oh-oh
Yeah, it kinda made me feel proud when I heard him say
You couldn't find the words to say it yourself
And now in my heart I know I can say what I really feel
'Cause they said it really loud, they said it on the air

[Chorus]
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh
On the radio

[Bridge]
If you think that love isn't found on the radio
Then tune right in, you may find the love you lost
'Cause now I'm sitting here with the man I sent away long ago
It sounded really loud, they said it really loud

[Chorus]
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh
On the radio, whoa-oh-oh-oh
On the radio

"
8,Never Knew Love Like This Before,The Best Of Stephanie Mills,Stephanie Mills,1995-01-01,325173,58,"

[Verse 1.1]
I never knew love like this before
Now I'm lonely never more
Since you came into my life

[Verse 1.2]
You are my lovelight this I know
And I'll never let you go
You're my all, you're part of me

[Verse 1.3]
Once I was lost and now I'm found
Then you turned my world around
When I need I call your name

[Chorus]
Cause I never knew love like this before
Opened my eyes
Cause I never knew love like this before
What a surprise
Cause I never knew love like this before

[Verse 2.1]
This feeling's so deep inside of me
Such a tender fantasy
You're the one I'm living for

[Verse 2.2]
You are my sunlight and my rain
And time could never change
What we share forevermore

[Verse 1.1]
I never knew love like this before
Now I'm lonely never more
Since you came into my life

[Chorus]
Cause I never knew love like this before
Opened my eyes
Cause I never knew love like this before
What a surprise
Cause I never knew love like this before

[Verse 1.2]
You are my lovelight this I know
And I'll never let you go
You're my all, you're part of me

[Verse 1.3]
Once I was lost and now I'm found
Then you turned my world around
When I need I call your name

[Chorus]
Cause I never knew love like this before
Opened my eyes
Cause I never knew love like this before
What a surprise

Cause I never knew love like this before
Inside of me
Never knew love like this before
Opened my eyes

[Outro]
(Never) Never
(Never) Never
(Never knew love like this) I never knew, I never knew, I never
(Never) Never
(Never) Never
(Never knew love like this) I never knew, I never knew, I never knew
(Never) Never
(Never) Never
(Never knew love like this) I never knew
(Never) Never knew
(Never) Never
(Never knew love like this) I never knew
(Never) Never knew
(Never) Never
(Never knew love like this) I never knew, I never knew, I never knew
(Never) I never knew, I never knew, I never knew
(Never) I never
(Never knew love like this) Never knew love like
Never knew
(Never) Never knew
(Never) Never
(Never knew love like this) Opened my eyes
(Never) What a surprise
(Never) Never
(Never knew love like this) I never knew

"
9,Ladies Night,Ladies' Night,Kool & The Gang,1979-05-13,385506,51,"

[Intro]
Mmm, oh yeah, oh what a night

[Hook]
Oh yes, it's ladies' night
And the feeling's right
Oh yes, it's ladies' night
Oh what a night (Oh what a night)
Oh yes, it's ladies' night
And the feeling's right
Oh yes, it's ladies' night
Oh what a night

[Verse 1]
Girls, y'all got the one (What?)
A night that's special everywhere
From New York, to Hollywood
It's ladies' night, and girl the feeling's good

[Hook]

[Verse 2]
Romantic lady, single baby
Uhmm, sophisticated mama
Come here you disco lady
Yeah, stay with me tonight

[Bridge]
If you hear any noise
It ain't the boys
It's ladies' night

Gonna step out ladies night
Steppin' out ladies night
Gonna step out ladies night
Steppin' out ladies night

[Hook]

[Verse 3]
On disco lights your name will be seen
You can fulfill all your dreams
Party here, party there, everywhere
This is your night, baby
You've got to be there, well

[Bridge]
This is your night
Tonight, everything is gonna be alright

[Outro]
Come on let's all celebrate

"
