,name,album,artist,release date,length,popularity,lyrics
0,Paid In Full,Paid In Full,Eric B. & Rakim,1987,228266,47,"

[Intro: Eric B. and Rakim]
Yo, Rakim, what's up?
Yo, I'm doing the knowledge, E, man, I'm trying to get paid in full
Well, check this out; since Norby Walters is our agency, right?
True
Cara Lewis is our agent
Word up
Zakia and 4th and Broadway is our record company
Indeed
Okay, so, who we rollin' with, then?
We rollin' with Rush—of Rushtown Management
Check this out; since we talkin' over this def' beat right here that I put together
I wanna hear some of them def' rhymes, you know what I'm sayin'?
And, together, we can get paid in full

[Verse: Rakim]
Thinkin' of a master plan
'Cause ain’t nothin' but sweat inside my hand
So I dig into my pocket, all my money spent
So I dig deeper, but still coming up with lint
So I start my mission, leave my residence
Thinking, ""How could I get some dead presidents?""
I need money, I used to be a stick-up kid
So I think of all the devious things I did
I used to roll up: ""This is a hold-up, ain’t nothing funny
Stop smiling, be still, don’t nothing move but the money""
But now, I learned to earn 'cause I’m righteous
I feel great, so maybe, I might just
Search for a 9 to 5, if I strive
Then maybe I’ll stay alive
So I walk up the street, whistling this
Feeling out of place 'cause, man, do I miss
A pen and a paper, a stereo, a tape of
Me and Eric B and a nice big plate of
Fish, which is my favorite dish
But without no money, it’s still a wish
'Cause I don’t like to dream about gettin' paid
So I dig into the books of the rhymes that I made
So now's a test to see if I got pull
Hit the studio, 'cause I’m paid in full

[Outro: Eric B. and Rakim]
Rakim, check this out
Yo, you go to your girl's house and I'll go to mine
'Cause my girl is definitely mad 'cause it took us too long to do this album
Yo, I hear what you're saying, so let's just pump the music up and count our money
Yo, well check this out
Yo, Elai
Turn the bass down and just let the beat keep on rocking
And we outta here
Yo, what happened to peace?
Peace, peace, peace

[Produced by Eric B.]

"
1,I Need Love,Bigger And Deffer,LL Cool J,1987-07-22,322733,50,"

[Verse 1]
When I'm alone in my room sometimes I stare at the wall
And in the back of my mind I hear my conscience call
Telling me I need a girl who's as sweet as a dove
For the first time in my life, I see I need love
There I was giggling about the games
That I had played with many hearts, and I'm not saying no names
Then the thought occured, tear drops made my eyes burn
As I said to myself, ""look what you've done to her""
I can feel it inside, I can't explain how it feels
All I know is that I'll never dish another raw deal
Playing make-believe pretending that I'm true
Holding in my laugh as I say that I love you
Saying amor kissing you on the ear
Whispering, ""I love you and I'll always be here""
Although I often reminisce I can't believe that I found
A desire for true love floating around
Inside my soul because my soul is cold
One half of me deserves to be this way 'til I'm old
But the other half needs affection and joy
And the warmth that is created by a girl and a boy

[Hook]
I need love
I need love

[Verse 2]
Romance, sheer delight, how sweet?
I gotta find me a girl to make my life complete
You can scratch my back, we'll get cozy and huddle
I'll lay down my jacket so you can walk over a puddle
I'll give you a rose, pull out your chair before we eat
Kiss you on the cheek and say, ""ooh girl, you're so sweet""
It's deja vu whenever I'm with you
I could go on forever telling you what I do
But where you at? You're neither here or there
I swear I can't find you anywhere
Damn sure you ain't in my closet, or under my rug
This love search is really making me bug
And if you know who you are why don't you make yourself seen?
Take the chance with my love and you'll find out what I mean
Fantasies can run, but they can't hide
And when I find you I'm gon' pour all my love inside

[Hook]
I need love
I need love

[Verse 3]
I wanna kiss you, hold you, never scold, you just love you
Suck on you neck, caress you and rub you
Grind, moan and never be alone
If you're not standing next to me you're on the phone
Can't you hear it in my voice? I need love bad
I've got money, but love's something I've never had
I need your ruby red lips sweet face and all
I love you more than a man who's 10 feet tall
I'd watch the sunrise in your eyes
We're so in love when we hug we become paralyzed
Our bodies explode in ecstasy unreal
You're as soft as a pillow and I'm as hard as steel
It's like a dream land, I can't lie, I never been there
Maybe this is an experience that me and you can share
Clean and unsoiled yet sweaty and wet
I swear to you this is something I'll never forget

[Hook]
I need love
I need love

[Verse 4]
See what I mean? I've changed, I'm no longer
A playboy on the run, I need something that's stronger
Friendship, trust, honor, respect, admiration
This whole experience has been such a revelation
It's taught me love and how to be a real man
To always be considerate and do all I can
Protect you, you're my lady and you mean so much
My body tingles all over from the slightest touch
Of your hand and understand I'll be frozen in time
Till we meet face to face and you tell me you're mine
If I find you, girl, I swear I'll be a good man
I'm not gonna leave it in destiny's hands
I can't sit and wait for my princess to arrive
I gotta struggle and fight to keep my dream alive
I'll search the whole world for that special girl
When I finally find you watch our love unfurl

[Hook]
I need love
I need love

[Outro]
Girl, listen to me. When I be sitting in my room all alone, staring at the wall
Fantasies, they go through my mind, and I've come to realize that I need true love
And if you wanna give it to me, girl, make yourself seen. I'll be waiting
I love you

"
2,You're Gonna Get Yours,Yo! Bum Rush The Show,Public Enemy,1987-02-10,244040,27,"

[Flavor Flav]
Oh, Chuck, they out to get us, man
Yo, we got to dust these boys off

[Verse 1: Chuck D]
In this corner with the '98
Subject of suckers, object of hate
Who's the one some think is great?
I'm that one (son of a gun!)
Drivin' by wavin' my fist
Makin' 'em mad when I'm goin' like this
Top gun, never on the run
(They know not to come cause they all get some)
Goin' quicker in the speedin' lane
Jealous can't do it and it's causin' them pain
Caught in my smoke, all they did was choke
Look at my spokes, you know I'm no joke
Out that window, middle finger for all
Jealous at my ride, stereo and blackwalls
Suckers they got the nerve and gall
(To talk about the car when they're walkin' tall)

[Chorus]
Suckers to the side, I know you hate my '98
(You're gonna get yours!)
Suckers to the side, I know you hate my '98
(You're gonna get yours!)

[Verse 2: Chuck D]
Pullin' away every day
Leavin' you in the dust so you know I get paid
On the mile ego trip and 5-0 tailin' on my tip
Watch me burn rubber, fall in my flame
This episode is always the same
Seein' no comp coming like I'm blind
All left back trailin' my behind
I go faster cops try to shoot me
They'll get theirs when they try to get me
I'll let it go, my turbo
Run 'em in the river cause they're movin' too slow
Laughing hard at their attempt
So what if the judge charges me contempt?
I'd rub my boomerang cause I'm feelin' proud
And I wouldn't even hear 'em cause my radio's loud

[Chorus]
Suckers to the side, I know you hate my '98
(You're gonna get yours!)
Suckers to the side, I know you hate my '98
(You're gonna get yours!)s

[Verse 3: Chuck D]
Cruisin' down the boulevard
I'm treated like some superstar
You know the time so don't look hard
(Get with it, the ultimate homeboy car!)
All you suckers in the other ride
Whenever I'm comin' get to my side
My '98 is tough to chase
If you're on my tail better watch your face
Smoke is comin' when I burn
Rubber when my wheels turn
Tinted windows, so super bad
Lookin' like the car the Green Hornet had
It's the reason I'm ahead of the pack
It's the reason I left them back
It's the reason all the people say
My '98 Olds blows 'em all away

[Bridge: Chuck D + sample]
My '98 Oldsmobile's so (""Su—"" ""Su—"" ""Su—"")
My '98 Oldsmobile is (""Su—"" ""Su—"" ""Su—"")
My '98 Oldsmobile's so (""Su—"" ""Su—"" ""Su—"")
My '98 Oldsmobile's like (""Super sperm"")

[Chorus]
Suckers to the side, I know you hate my '98
(You're gonna get yours!)
Suckers to the side, I know you hate my '98
(You're gonna get yours!)

[Verse 4: Chuck D]
Understand, I don't drive drunk
My '98's fly, I don't drive no junk
No cop got a right to call me a punk
Take this ticket, go to hell and stick it
Put me on a kick but line up, times up
This government needs a tune up
I don't even know what's happenin', what's up?
Gun in my chest, I'm under arrest
Sidewalk suckers wanted to spill me
So I got my crew and posse
Took the girls and got them to thrill me
Stepped outside, got in my ride
Drove 'em around and I looked around town
Caught 'em out there cold, ran 'em over and down
They didn't get me and that's the truth
('Cause my '98-O is bullet proof)

[Bridge: Chuck D + sample]
My '98 Oldsmobile's so (""Su—"" ""Su—"" ""Su—"")
My '98 Oldsmobile is (""Su—"" ""Su—"" ""Su—"")
My '98 Oldsmobile's so (""Su—"" ""Su—"" ""Su—"")
My '98 Oldsmobile's like (""Super sperm"")

"
3,Wild Wild West,How Ya Like Me Now (Expanded Edition),Kool Moe Dee,1987-12-08,280840,42,"

[Chorus]
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west

[Verse 1]
I used to live downtown, 129th Street
Convent, everything's upbeat
Parties, ball in the park
Nothing, but girls after dark
We chill, nobody gets ill
In the place we call the hill
But if you try 'em
That's when they will
Get wild, but they don't fight, they kill
At the...

[Chorus]
The wild wild west
The wild wild west
The wild wild west
The wild wild west

[Verse 2]
I remember parties out in the park
With the girlies, rubbing up in the dark
I was smooth, until someone pulled a gun
It was over, they spoiled my fun
I was flying, just like a track star
Dying, nah, I ran through the back yard
Trying to get into my building
Saying ""Why in the heck won't somebody kill them?""
One day the fellas got together
They vowed that no one would ever
Come on our block, and terrorize us
The gangs that used to do it, now they idolize us
Guns, we don't like to use them
Unless, our enemies choose them
We prefer to fight you on like a man
And beat you down with our hands and bodyslam you at the...

[Chorus]
The wild wild west
The wild wild west
The wild wild west
The wild wild west

[Verse 3]
We don't start trouble, but boy do we end it
Our time, we like to spend it
Snapping, boy do we heat up
But we'll take time out to beat up
A sucker, if he wants static
Beatdown, yeah we got it
Good, and we'll accommodate you
Thanks to us, a lot of brothers hate to
Come back, to this very day
'Cause losing's one thing we don't play
If you're ever in a fight and you're beating one of us
Break out, before you get bumrushed
At the...

[Chorus]
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west

[Verse 4]
I'm talking about Nappy Red, Theo, Tony and Milton
Mike Mike Sluggo and Mike Chillion
D.O.B., Reggie B, and Sidney
Dano B, Derrick B, Sean B, and don't forget
Big Hank, Don Ice and Sire Rock
God bless Peter Wax, Chuck Chuck, and Pork Chop
El Dorado George way back in the day
Had all the brothers on the hill talking this way
They said, ""God, have mercy L.A
Sunshine"" and my DJ
Easy Lee, are from around the way
Jock Jock, Philly Phil, Don D always
But they're chillin', Keith Keith, KV
Steve O, Ross Ross and A Fi
Beroni, Toss Toss and Hung Hunk
We fight with our hands and nobody's a punk!
At the...

[Chorus]
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west
The wild wild west

"
4,Squeeze the Trigger,Rhyme Pays (Explicit Version),ICE-T,1987,374640,24,"

Yo Evil, what's up man? They be buggin', they won't play our records on the radio, man, say we violent, man. They need to look at the news, you know what I'm sayin'? They need to kill that noise. Man what you doin' with that up under your shirt? Aw, man, it's time we put some head out, word. Let's get busy, E. Come on, home boy

Squeeze the trigger

Man I'm tired of this nonsense, sweatin' my crew, tryin' to come to the show, searchin' my car, man I'm sick of the cops

Rampage on the stage, my crew's in a rage
Searched my posse, found the Uzi but missed the 12 gauge
Maniac, I'm a rhyme brainiac, livin' on the edge of a razor, remember that
Cold rollin' thick as a shake, I'm rockin' hard as a quake
I can live on bread and water or lobster and steak
My mind's a riot gun, there ain't none bigger
About to unload the ammo, E squeeze the trigger

(""You fight..."") Got 'im! (""...to live."")
""Police still have no leads for the apprehension of [?]""
""Has it ever occured to you? The president might be the one who wants you dead.""

They say I'm violent, they should watch the T.V
You say I'm brutal, you should check your P.D
You made me, now your kids rave me
I rap about the life that the city streets gave me
Murder, intrigue, somebody must bleed
Miami Vice is small time, L.A.'s the big league
From the Rollin' '60s to the Nickerson G's
Pueblos, Grape Street, this is what I see
The Jungle, the '30s, the V.N.G
Life in L.A. ain't no cup of tea
And they be sayin' I'm illin', yo

Squeeze the trigger
Got 'im!

""Violence erupts at a Los Angeles hip-hop concert. Rap music is blamed for violence
Violence erupts at a New York hockey game. Hockey is blamed for violence
Violence breaks out at a European soccer game. Soccer is blamed for violence
Violence breaks out at a nuclear peace rally. Peace is blamed for violence.""

I've been dogged out by cops, shackled and socked
Paid my dues to the streets, took my hard knocks
Disrespected by snobs, damn near trampled by mobs
Persecuted by squares workin' nine to five jobs
But like a panther I prowl, like a lion I growl
Learn to see behind my back like the head of an owl
I'm the voice of the youth, the prophet of truth
What I speak is reality though some may say ruth-
-less tactics are takin' by me to awaken
People to life but I feel no fakin'
No jivin', no lyin', no frontin', no playin'
Say exactly what's up, understand what I'm sayin'
Ban me, try it, you might cause a riot
What the radio won't play, the underground will supply it
I'm an MC pirate that's loud, not quiet
Radical as they make'em, make a rule I'll defy it
Critics may say I'm wise, some may call my words lies
I've lived more in one day than they will in their lives
With most due respect the words I inject
Kick credit for realism and the truth I project
Because I could bust rhymes for fun, or cut MC's like a knife
But the topic I love is the drama of life
So don't diss me don't dare, I feel you should care
You may think I'm soft but you're just unaware
Of the wrath of the Ice enraged, prepare
For a true nightmare

Squeeze the trigger

Cops hate kids, kids hate cops, cops kill kids with warnin' shots
What is crime and what is not? What is justice? I think I forgot
We buy weapons to keep us strong
Reagan sends guns where they don't belong
The controversy is thick and the drag is strong
But no matter the lies we all know who's wrong
Homeless sleep on the city streets
Waitin' to die with nothin' to eat
While rich politicians soak their feet
In the pools at their ten million buck retreats
People hate people for color of face
No one had a choice in the race we were placed
A brother in Queens was beaten and chased
Murdered cold in the streets, a goddamn disgrace
Just because of his race, his life went to waste
And no one went to jail when the court heard the case
Justice or corruption? It's all interlaced
How can you swallow this? I can't stand the taste

Squeeze the trigger

[?]

I get paid for illin', cold makin' a killin'
My pockets keep fillin', I got dollars to the ceilin'
Got a safe in my floor, car got bullet-proof doors
Every time I rock the mic I leave you wishin' for more
Because my raps ain't bull, got cold stupid pull
You wanna eat my rhymes like candy, 'til your mind's over full
But most MC's today ain't got nothin' to say
A to the motherfuckin' K

Squeeze the trigger

Yo E, man, i'm tired of this, let's call up the posse, let's end this noise, word

Now you think you know what time it is? Word, we out of here

""Los Angeles rapper Ice-T's records banned because [?] reality""

[Outro]
This album is dedicated to Rhyme Syndicate
They hear my records before they're made
When they're just on paper, when they're demos laid
At 6am when the cops run their raid
We don't worry about suckas 'cause they will get sprayed
PEACE

"
5,Poetry,Criminal Minded (Deluxe),Boogie Down Productions,1987,299630,26,"

[Verse 1]
Well, now you're forced to listen to the teacher and the lesson
Class is in session, so you can stop guessing
If this is a tape or a written down memo
See, I am a professional, this is not a demo
In fact, call it a lecture, a visual picture
Sort of a poetic and rhythm-like mixture
Listen, I'm not dissing, but there's something that you're missing
Maybe you should touch reality, stop wishing
For beats with plenty bass and lyrics said in haste
If this meaning doesn't manifest, put it to rest
I am a poet, you try to show it, yet blow it
It takes concentration for fresh communication
Observation, that is to see without speaking
Take off your coat, take notes, I am teaching
A class, or rather school, 'cause you need schooling
I am not a king or queen, I'm not ruling
This is an introduction to poetry
A small dedication to those that might know of me
They might know of you and maybe your gang
But one thing's for sure, neither one of y'all can hang
'Cause, yo, I'm like a arrow, and Scott is the crossbow
Say something now... thought so
You seem to be the type that only understand
The annihilation and destruction of the next man
That's not poetry, that is insanity
It's simply fantasy, far from reality
Poetry is the language of imagination
Poetry is a form of positive creation
Difficult, isn't it? The point? You're missing it
Your face is in front of my hand so I'm dissing it

[Verse 2]
Scott La Rock is innovating, decorating hip-hop
The beat may drop but not like all the others
They just cover while I just smother
Every single stupid mother-- wait, wait, brother
KRS-One will have to show another
MC or self-proclaimed king or queen
Or gang or crew or solo or team that I mean
Business, so tell me, what is this?
See, I come from the Bronx, so just kiss this
Boogie Down Productions is somewhat an experiment
The antidote for sucker MC's and they're fearing it
It's self-explanatory, no one's writing for me
The poetry I'm rattling is really not for battling
But if you want, I will simply change the program
So when I'm done you will simply say ""Damn!""
So this conversation is somewhat hypothetical
Boogie Down Productions attempts to prove something
I say hypothetical because it's only theory
My theory, so take a minute now to hear me

[Verse 3]
So what's your problem?
It seems you want to be KRS too
From my point of view, backtrack, stop the attack
Cos KRS-One means simply one KRS
That's it, that's all, solo, single, no more, no less
I've built up my credential financially and mental
Anytime I rhyme I request the instrumental
I speak clearly and that's merely
Or should I say a mere, help to my career
I'm really not into fashion or craze
Just the one who pays and how soon I get a raise
You're probably in a daze, acting out of sympathy
Wrote a couple of rhymes and think that you can get with me
But what a pity, I'm rocking New York City
And everywhere else, you put the jams on the shelf
You as an amateur is outspoken
I'm looking at your face, you seem to be hoping
That I might stutter, stop, or just mess up
But everything's live that's why I don't dress up
""Blastmaster KRS"" a synonym for ""fresh""
I'm the teacher of the class, I do not pass no test
Got DJ Scott La Rock by my side, not in back of me
Cos we make up the Boogie Down Productions crew faculty
Get it right, or train yourself not to bite
Cos when you bite you have bitten, when I hear it, that's it
I do not contemplate a battle cause it really ain't worth it
I'd rather point a pistol at your head and try to burst it

I'm teaching poetry
I'm teaching poetry
Scott La Rock
We're teaching po-e-try

"
6,I'm Bad,Bigger And Deffer,LL Cool J,1987-07-22,279733,51,"

[Intro]
Calling all cars, calling all cars...
Be on the lookout for a tall light-skinned brother with dimples
Wearing a black Kangol, sweatsuit, gold chain, and sneakers.
Last seen on Farmers Boulevard headed east.
Alias L.L. Cool J. He's bad...

[Verse 1]
Aaaahhhhhhhhhh
No rapper can rap quite like I can
I'll take a musclebound man and put his face in the sand
Not the last Mafioso, I'm a MC cop
Make you say ""Go LL,"" and do the Wop
If you think you can outrhyme me, yeah boy I bet
Cause I ain't met a motherfucker who can do that yet
Trendsetter, I'm better, my rhymes are good
I got a gold nameplate that says ""I wish you would""
And when battles begin then I gotta join in and
Before my rhyme is over, you know I'mma win
Cool J has arrived so you better make way
Ask anybody in the crowd, they say the kid don't play
Slaughter competition, that's my hobby and job
I don't wear a disguise because I don't owe the mob
Got a pinpoint rap that makes you feel trapped
So many girls on my jock, I think my phone is tapped
I'm bad

Cool J, Cool J, Cool J, Cool J, Cool J, Cool J

[Verse 2]
I'm like Tyson, icin', I'm a soldier at war
I'm makin' sure you don't try to battle me no more
Got concrete rhymes, been rappin' for ten years and
Even when I'm bragging, I'm bein' sincere!
Emcees can't win, I make 'em rust like tin
They call me 'Jaws,' my hat is like a shark's fin
Because I'm bad as can be, got my voice on wax
Some brothers think he's making records, now he must have relaxed
I couldn't, I shouldn't, and it'll stay that way
The best rapper you've heard is LL Cool J
Kamikaze, take a look at what I've done
Used to rock in my basement, now I'm number one
And can happen on time, never standin' on line
You wanna try me? First you better learn how to rhyme
I'm the pinnacle; that means I reign supreme
And I'm notorious; I'll crush you like a jellybean!
I'm bad

""Suspect was last spotted with three other members of his group. Bobcat, E Love and the Cut Creator. They are extremely bad, so keep your eyes open. Use extreme caution""

[Verse 3]
I eliminate punks, cut 'em up in chunks
You were souped, you heard me, and your ego shrunk
I'm devastating I'm so good it's a shame
Cause I eat rappers like a cannibal they call me insane
I'm as strong as a bull of course you know why I pull
I enjoy what I'm doing plus I'm paid in full
Not Buckaroo Banzai, but bustin' out as I
Say the kind of rhymes that make MC's wish that I'd die
Never retire or put my mic on the shelf
The baddest rapper in the history of rap itself
Not bitter or mad, just provin' I'm bad
You want a hit? Give me a hour plus a pen and a pad!
MC's retreat, cause they know I can beat 'em
And eat 'em in a battle and the ref won't cheat 'em
I'm the baddest! Takin' out all rookies
So forget Oreos, eat Cool J cookies, I'm bad!

Cool J, Cool J,Cool J,Cool J, Cool J,Cool J

[Verse 4]
Never ever no never
Never wearin' no Levis, battle me why try?
I'll treat you like a stepchild so tell mommy ""bye bye""
Slaughterin' MC's and I'mma never get whipped
When I retire I'll get worshipped like a old battleship
LL I'm bad, all the rappers know
When I enter the center they say, 'Yo, yo there he go!'
My paycheck's large Mr. Bogart in charge
Not a puncher or hunter from a raccoon lodge
The original Todd, teachin' how to be hard
Take the skin off a snake, and split a pea from a pod
You're a novice I'm noble and I decipher my tongue
Not Attila the Hun, nor Abdullah his son
My vocals exact, like rack and pinion in a Jag
You try to brag, you get your rhymes from a grab-bag
No good scavenger, catfish vulture
My tongue's a chisel and this composition's sculpture, I'm bad!

[Outro]
(Think I'm gonna need backup)
(Think I'm gonna need backup)

Gimme that walkie-talkie!
Yo this is LL Cool J
And you'll never catch me so don't even try it
Cause I'm too bad for ya, understand?!
Aaaaaahhhh... I'm bad!

"
7,I Ain't No Joke,Paid In Full,Eric B. & Rakim,1987,232893,42,"

[Verse 1]
I ain't no joke, I used to let the mic smoke
Now I slam it when I'm done and make sure it's broke
When I'm gone no one gets on 'cause I won't let
Nobody press up and mess up the scene I set
I like to stand in a crowd and watch the people wonder damn
But think about it then you'll understand
I'm just an addict, addicted to music
Maybe it's a habit, I gotta use it
Even if it's jazz or the quiet storm
I hook a beat up, convert it into hip-hop form
Write a rhyme in graffitti in every show you see me in
Deep concentration 'cause I'm no comedian
Jokers are wild if you wanna be tame
I treat you like a child then you're gonna be named
Another enemy, not even a friend of me
'Cause you'll get fried in the end when you pretend to be
Competing 'cause I just put your mind on pause
And I can beat you when you compare my rhyme with yours
I wake you up, and as I stare in your face, you seem stunned
Remember me? The one you got your idea from?
But soon you start to suffer, the tune'll get rougher
When you start to stutter, that's when you had enough of
Biting it'll make you choke, you can't provoke
You can't cope, you should've broke because I ain't no joke

[Verse 2]
I got a question as serious as cancer:
Who can keep the average dancer hyper as a heart attack?
Nobody smiling
'Cause you're expressing the rhyme that I'm styling
This is what we all sit down to write
You can't make it, so you take it home, break it and bite
Use pieces and bits of all my hip-hop hits
Get the style down pat, then it's time to switch
Put my tape on pause and add some more to yours
Then you figure you're ready for the neighborhood tours
The E-M-C-E-E, don't even try to be
When you come up to speak, don't even lie to me
You like to exaggerate, dream, and imaginate
Then change the rhyme around—that can aggravate me
So when you see me come up, freeze
Or you'll be one of those seven emcees
They think that I'm a new jack but only if they knew that
They who think wrong are they who can't do that
Style that I'm doing, they might ruin
Patterns of paragraphs based on you and
Your off-beat DJ, if anything he play sound familiar
I'll wait 'til E say, ""Play 'em""
So I'mma have to diss and broke
You could get a smack for this—I ain't no joke

[Verse 3]
I hold the microphone like a grudge
B'll hold the record so the needle don't budge
I hold a conversation 'cause what I invent
I nominated my DJ for president
When I emcee, I'll keep a freestyle going steadily
So pucker up and whistle my melody
But whatever you do, don't miss one
There'll be another rough rhyme after this one
Before you know it, you're following and fiending
Waiting for the punchline to get the meaning
Like before the moral of my story I'm telling
Nobody beats the R, so stop yelling
Save it, put it in your pocket for later
'Cause I'm moving the crowd, and B'll wreck the fader
No interruptions, and the mic is broke
When I'm gone, then you can joke
'Cause everything is real, on a serious tip
Keep playing and I get furious quick
And I'll take you for a walk through hell
Freeze your dome, then watch your eyeballs swell
Guide you out of triple-stage darkness
When it get dark again, then I'ma spark this microphone
'Cause the heat is on, you see smoke
And I'm finished when the beat is gone— I'm no joke

"
8,The Overweight Lovers In The House,Living Large,Heavy D & The Boyz,1987-10-25,217493,35,"

[Verse 1]
Sittin' in my room with my smokin' jacket on
The fireplace is burning and the girly is WARM
Time to make my move, so gently I kiss her
Whisper in her ear, and tell her that I miss her
She might try to pop that boyfriend junk
But I don't really care because I know he's a punk
I'll stomp him like a roach if he tries to approach
He can't get close cause I'm the one who wrote
The Book of Romance, so come on take a chance
You don't need a long look, all you need is a glance
If you wanna get warm, in my arms you belong
You have a problem, Hev will solve 'em, nothin' can go wrong - when

[Chorus]
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House

[Verse 2]
You said I couldn't do it, then it got done
And after you and I did it, you said it was fun
Now every day of your life you wanna be with me
When you got time to spend you spend time with Heavy D
I notice that you hold me gentle as a rose
I'm rough and tough baby, but then I suppose
That I had to be held in order to start holdin'
I think I got you hittin', so let's start rollin'

[Chorus]
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House

[Verse 3]
Heaven sent on our trip, champagne we sip
You look at me I look at you, then we touch lips
We roll around in the sand, later on hold hands
Walk by the beach and I can teach ya Heavy D's game plan
See the way that I am, is the Big Loverman
Check out the rhyme and in due time you'll be a Hev D fan
I'm swift you know, an Overweight Romeo
Come get a piece of the beast, because it's good to go
Emcee Heavy D all ladies I'm hookin'
Big extra love but STILL good lookin'
For you and I to swing on our romance free
All you gotta do is lean on me, because

[Chorus]
The Overweight Lover's in the House
The Overweight Lover's in the House

[Verse 4]
I'm an overweight lover, entertainer of many
Now when I do a party now I may not do plenty
Girls out the crowd seem to go berserk
They start yellin' and screamin' ""HEAVY D GO TO WORK""
And when I'm through rockin' and chillin' at the disco
They grab me up and scoop me up, they just won't let go
That's when I know that there's been too much charmin'
I put 'em in a line and say ""Please don't squeeze the Charmin'""

[Chorus]
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House
The Overweight Lover's in the House

"
9,How Ya Like Me Now,How Ya Like Me Now (Expanded Edition),Kool Moe Dee,1987-12-08,337333,43,"

[Produced by Teddy Riley]

[Verse 1]
I throw my tape on then, I watch ya
Three seconds later, I got ya
Shakin' your head, dancin' instead of sittin'
The rhymes kick, the beats hittin' you
Just like a home run, slammin' like a slam dunk
Riding the wave that James Brown gave funk
It happened to James like it happened to me
How you think I feel to see another MC get paid
Usin' my rap style
And I'm playin' the background meanwhile
I ain't with that, you can't forget that
You took my style, I'm takin' it back
Comin' back, like ""Return of the Jedi""
Sucker MC's in the place that said I
Could only rock rhymes and only rock crowds
But never rock records, how ya like me now?

[Chorus]
How ya like me now?
How ya like me now?

[Verse 2]
Now brothers are riding me like a pony
I'm no phony, I'm the only real mic-aroni
Playin' the mic like it's supposed to be played
New jacks, you all shoulda stayed
Out of the business, what is this
Amateur night at the Apollo?
Get off this stage, I'm in a rage
I'm like a lion that's been trapped inside a cage
I'm the real king, rap is a jungle
I never understood, how could one go
To a party, watch me, stand around and jock me
Become a rapper, then try to rock me
Schemin' like a demon, you're screamin' and dreamin'
I'm from the old school, I used to see men
Die for less, but I'm not living that way
I'll let my mic do the talkin'
And let the music play

[Chorus]
How ya like me now?

[Verse 3]
Rap is an art and I'm like Picasso
But of course, why else would you try so
Hard to paint a picture, and try to get ya
Self in my shoes, but they won't fit ya
I'm bigger and better, forget about deffer
Every time I rocked the mic, I left a
Stain in your brain that will remain
Stuck in the back of your brain till you see me
Again, respect, I come correct
The rhymes I select are nothing short of perfect
Vernacular's pure and I can ensure
Life or death with my breath, my voice is a cure
I heal life from the words I spread
I'll make a sick man rock on his death bed
Sucker MC's, I'll make your girl say, ""Ow""
And she's jockin', now how ya like me now?

[Chorus]
How ya like me now?
How ya like me now?

[Verse 4]
It irked my nerve when I heard
A sucker rapper that I know I'll serve
Run around town sayin' he is the best
Is that a test? I'm not impressed
Get real, you're nothing but a toy
Don't ya know that I'll serve that boy?
Just like a waiter, hit 'em with a plate of
These fresh rhymes and
Make sure that he pay the bill
And leave him standin' still
When he's had enough, hit him with a refill
And for dessert it won't be no ice cream
I'm just gonna shatter and splatter his pipe dreams
Make him feel the wrath, beat him down, and laugh
And when I finish, then I'm gonna ask him
""Who is the best?"" And if he don't say, ""Moe Dee""
I'll take my whip and make him call himself Toby
Whip him good, then I'll make him sweat
Always talkin' about battles and never had a battle yet
But if we ever did, how could you beat me?
You're so petrified, you're scared to even meet me
My word's the law, that's why you don't beef
You're nothing but a punk, track star, and a thief
So I'm puttin' you on punishment, just like a child
Never touch another mic, how ya like me now?

[Chorus]
How ya like me now?

[Verse 5]
I could continue, there's more on the menu
But I'll relax 'cause I'm so far in you
You had enough, I know you're overstuffed
And if I keep going, you'll be throwin' up
Old rhymes I used to say way back in the day
When you used to come to my parties and pay
Nobody's ever gonna rock me and this I vow
So all I wanna say is how ya like me now?

[Chorus]
How ya like me now?
How ya like me now?
How ya like me now?

"
