,name,album,artist,release date,length,popularity,url,lyrics
0,Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,2000-05-16,211160,78,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,"[Intro]
Mmm, yeah
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

[Verse 1]
I think I did it again
I made you believe we're more than just friends
Oh, baby, it might seem like a crush
But it doesn't mean that I'm serious

[Pre-Chorus]
'Cause to lose all my senses
That is just so typically me
Ooh, baby, baby

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent

[Verse 2]
You see, my problem is this
I'm dreaming away
Wishing that heroes, they truly exist
I cry watching the days
Can't you see I'm a fool in so many ways?

[Pre-Chorus]
But to lose all my senses
That is just so typically me
Oh, baby, oh

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above
I'm not that innocent

[Post-Chorus]
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

[Interlude]
""All aboard!""
""Britney! Before you go, there's something I want you to have.""
""Oh, it's beautiful! But wait a minute, isn't this...?""
""Yeah, yes, it is.""
""But I thought the old lady dropped it into the ocean in the end.""
""Well, baby, I went down and got it for ya.""
""Aw, you shouldn't have!""

[Chorus]
Oops, I did it again to your heart
Got lost in this game, oh, baby
Oops, you (Oops, you) think that I'm sent from above
I'm not that innocent

[Chorus]
Oops, I did it again
I played with your heart
Got lost in the game (Yeah, yeah)
Oh, baby, baby
Oops, you think I'm in love
That I'm sent from above (Yeah)
I'm not that innocent

[Chorus]
Oops, I (Oops, I) did it again (Did it again to your heart)
I played with your heart (Got lost)
Got lost in the game (In this game, oh, baby)
Oh, baby, baby
Oops, you (Oops, you) think I'm in love (Think that I'm sent)
That I'm sent from above
I'm not that innocent"
1,All The Small Things,Enema Of The State,blink-182,1999-06-01,167066,79,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,"[Verse 1: Tom DeLonge]
All the small things
True care, truth brings
I'll take one lift
Your ride, best trip
Always, I know
You'll be at my show
Watching, waiting
Commiserating

[Chorus: Tom DeLonge]
Say it ain't so, I will not go
Turn the lights off, carry me home

[Post-Chorus: Tom DeLonge & Mark Hoppus]
Na na, na na, na na, na na, na, na
Na na, na na, na na, na na, na, na
Na na, na na, na na, na na, na, na
Na na, na na, na na, na na, na, na

[Verse 2: Tom DeLonge]
Late night, come home
Work sucks, I know
She left me roses by the stairs
Surprises let me know she cares

[Chorus: Tom DeLonge]
Just say it ain't so, I will not go
Turn the lights off, carry me home

[Post-Chorus: Tom DeLonge & Mark Hoppus]
Na na, na na, na na, na na, na, na
Na na, na na, na na, na na, na, na
Na na, na na, na na, na na, na, na
Na na, na na, na na, na na, na, na

[Instrumental Bridge]

[Chorus: Tom DeLonge & Mark Hoppus]
Say it ain't so, I will not go
Turn the lights off, carry me home
Keep your head still, I'll be your thrill
The night will go on, my little windmill

[Outro: Tom DeLonge with Mark Hoppus]
(Na na, na na, na na, na na, na, na)
Say it ain't so, I will not go
(Na na, na na, na na, na na, na, na)
Turn the lights off, carry me home
(Na na, na na, na na, na na, na, na)
Keep your head still, I'll be your thrill
(Na na, na na, na na, na na, na, na)
The night will go on, the night will go on, my little windmill"
2,Breathe,Breathe,Faith Hill,1999-11-09,250546,66,https://open.spotify.com/track/3y4LxiYMgDl4RethdzpmNe,"[Intro]
I can feel the magic floating in the air
Being with you gets me that way
I watch the sunlight dance across your face and I've
Never been this swept away

[Verse 1]
All my thoughts just seem to settle on the breeze
When I'm lying wrapped up in your arms
The whole world just fades away
The only thing I hear
Is the beating of your heart

[Chorus]
'Cause I can feel you breathe, it's washing over me
And suddenly, I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch, slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

[Verse 2]
In a way, I know my heart is waking up
As all the walls come tumbling down
I'm closer than I've ever felt before
And I know, and you know
There's no need for words right now

[Chorus]
'Cause I can feel you breathe, it's washing over me
And suddenly, I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch, slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

[Instrumental Bridge]

[Chorus]
Caught up in the touch
The slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

[Outro]
I can feel the magic floating in the air
Being with you gets me that way"
3,It's My Life,Crush,Bon Jovi,2000-01-01,224493,78,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,"[Verse 1]
This ain't a song for the broken-hearted (woah oh, woah oh, oh)
No silent prayer for the faith-departed
I ain't gonna be just a face in the crowd
You're gonna hear my voice when I shout it out loud

[Chorus]
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) My heart is like an open highway
Like Frankie said, ""I did it my way""
I just wanna live while I'm alive
It's my life

[Verse 2]
This is for the ones who stood their ground
For Tommy and Gina who never backed down
Tomorrow's getting harder make no mistake
Luck ain't even lucky, got to make your own breaks

[Chorus]
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) My heart is like an open highway
Like Frankie said, ""I did it my way""
I just wanna live while I'm alive
'Cause it's my life

[Bridge]
Better stand tall when they're calling you out
Don't bend, don't break, baby, don't back down

[Chorus]
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) My heart is like an open highway
Like Frankie said, ""I did it my way""
I just wanna live while I'm alive
It's my life
And it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) My heart is like an open highway
Like Frankie said, ""I did it my way""
I just wanna live while I'm alive
It's my life"
4,Bye Bye Bye,No Strings Attached,*NSYNC,2000-03-21,200560,66,https://open.spotify.com/track/4r8lRYnoOGdEi6YyI5OC1o,"[Intro: Justin & All]
Hey, hey
Bye bye bye
Bye bye!
Bye bye! (oh oh)

[Verse 1: JC with All]
I'm doing this tonight
You're probably gonna start a fight
I know this can't be right
Hey baby, come on
I loved you endlessly
And you weren't there for me
So now it's time to leave
And make it alone

[Pre-Chorus: Justin with JC & All]
I know that I can't take no more
It ain't no lie
I wanna see you out that door
Baby, bye bye bye (bye bye)

[Chorus: All, Justin & JC]
Don't wanna be a fool for you
Just another player in your game for two
You may hate me but it ain't no lie
Baby, bye bye bye (bye bye)
Don't really wanna make it tough
I just wanna tell you that I had enough
Might sound crazy but it ain't no lie
Baby, bye bye bye

[Verse 2: Justin with JC, with All]
Just hit me with the truth
Now! Girl, you're more than welcome to
So give me one good reason
Baby, come on
I live for you and me
And now I really come to see
That life would be much better
Once you're gone

[Pre-Chorus: JC with Justin & All]
I know that I can't take no more
It ain't no lie
I wanna see you out that door
Baby, bye bye bye (bye bye)

[Chorus: All, Justin & JC]
Don't wanna be a fool for you
Just another player in your game for two
You may hate me but it ain't no lie
Baby, bye bye bye (bye bye)
Don't really wanna make it tough
I just wanna tell you that I had enough
Might sound crazy but it ain't no lie
Baby, bye bye bye

[Middle 8: All]
I'm giving up, I know for sure
I don't wanna be the reason for your love no more
(Bye bye!) I'm checkin' out, I'm signin' off
I don't want to be the loser and I've had enough

[Bridge: Justin, All & JC]
I don't wanna be your fool
In this game for two
So I'm leaving you behind
(Bye bye bye, yeah)
I don't wanna make it tough
(Make it though)
But I've had enough
Bye bye, baby!
And it ain't no lie
Bye bye

[Chorus: Justin, Lance & Joey, JC & Chris, Justin, JC]
Don't wanna be a fool for you
(I don't wanna be a fool)
Just another player in your game for two
(In this game for two)
I don't wanna be a fool but it ain't no lie
Baby, bye bye bye (bye bye)
Don't really wanna make it tough (oh oh)
(I don't wanna make it tough)
I just wanna tell you that I had enough
(But I've had enough)
Might sound crazy but it ain't no lie
Baby, bye bye bye"
5,Thong Song,Unleash The Dragon,Sisqo,1999-01-01,253733,67,https://open.spotify.com/track/5Mmk2ii6laakqfeCT7OnVD,"[Intro]
This thing right here
Is lettin' all the ladies know
What guys talk about
You know
The finer things in life
Hahaha
Check it out

[Verse 1]
Ooh, that dress so scandalous
And you know another nigga couldn't handle it
See you shaking that thing like who's the ish
With a look in your eye so devilish
Uh, you like to dance at all the hip-hop spots
And you cruise to the crews like connect-the-dots
Not just urban she likes the pop
'Cause she was livin' la vida loca

[Pre-Chorus]
She had dumps like a truck, truck, truck
Thighs like what, what, what
Baby move your butt, butt, butt
Uh, I think I'll sing it again
She had dumps like a truck, truck, truck
Thighs like what, what, what
All night long
Let me see that thong

Chorus
(I like it when the beat goes da na da na)
(Baby, make your booty go da na da na)
Baby (Girl, I know you wanna show da na da na)
That thong-th-thong thong thong
I like it when the beat goes (da na da na)
Baby, make your booty go (da na da na)
(Girl, I know you wanna show da na da na)
That thong-th-thong thong thong

[Verse 2]
Listen, that girl so scandalous
And I know another nigga couldn't handle it
And she shaking that thing like who's the ish
With a look in her eye so devilish
Uh, she like to dance at all the hip-hop spots
And she cruise to the crews like connect-the-dots
Not just urban she likes the pop
'Cause she was livin' la vida loca

[Pre-Chorus]
She had dumps like a truck, truck, truck
Thighs like what, what, what
Baby move your butt, butt, butt
Uh, I think I'll sing it again
She had dumps like a truck, truck, truck
Thighs like what, what, what
All night long
Let me see that thong

Chorus
(I like it when the beat goes da na da na)
(Baby, make your booty go da na da na)
Baby (Girl, I know you wanna show da na da na)
That thong-th-thong thong thong
I like it when the beat goes (Da na da na)
Baby, make your booty go (Da na da na)
(Girl, I know you wanna show da na da na)
That thong-th-thong thong thong
Yeah (I like it when the beat goes da na da na)
Come on (Baby, make your booty go da na da na)
Baby (Girl, I know you wanna show da na da na)
That thong-th-thong thong thong
Said I (I like it when the beat goes da na da na)
Uh (Baby, make your booty go da na da na)
All right (Girl, I know you wanna show da na da na)
That thong (Th-thong thong thong)

[Verse 3]
That dress so scandalous
And I swear another nigga couldn't handle it
See, you shaking that thing like who's the ish
With a look in your eye so devilish
Uh, you like to dance at all the hip-hop spots
And you cruise to the crews like connect-the-dots
Not just urban, she likes the pop
'Cause she was livin' la vida loca

[Bridge]
(Whoa) She had dumps like a truck, truck, truck
Thighs like what, what, what
Baby, move your butt, butt, butt (Ooh)
I think I’ll sing it again
'Cause she had dumps like a truck, truck, truck
Thighs like what, what, what
Baby, move your butt, butt, butt
I think I'll sing it again
Come on
Come on
Come on
Come on

Chorus
Yeah yeah (I like it when the beat goes da na da na)
(Baby, make your booty go da na da na)
(Girl, I know you wanna show da na da na) Baby
That thong-th-thong thong thong
Said I like the way, oh (I like it when the beat goes da na da na)
(Baby, make your booty go da na da na)
Baby, uh (Girl, I know you wanna show da na da na)
That thong-th-thong thong thong
Listen, said I like the way (I like it when the beat goes da na da na)
(Baby, make your booty go da na da na)
I don't think you heard me
(Girl, I know you wanna show da na da na)
That thong-th-thong thong thong
Said I like the way (I like it when the beat goes da na da na)
You move that thing (Baby, make your booty go da na da na)
I see your body (Girl, I know you wanna show da na da na)
Glistening (That thong th-thong thong thong)
Your thighs, your knees (I like it when the beat goes da na da na)
Your breasts, your feet (Baby, make your booty go da na da na)
Oh please, tell me (Girl, I know you wanna show da na da na)
Baby (That thong th-thong thong thong)

[Outro]
Oh, whoa (Da na da na, da na da na)
Uh, alright (Da na da na)
That thong-th-thong thong thong
Uh whoa yeah (Da na da na, da na da na)
(Da na da na)
Ooh (That thong-th-thong thong thong)
Whoa
(Like it when the beat goes da na da na)
(Baby, make your booty go da na da na)
(Girl, I know you wanna show da na da na)
Baby
That thong-th-thong thong thong
(I like it when the beat goes da na da na)
(Baby, make your booty go da na da na)
(Girl, I know you wanna show da na da na)
That thong-th-thong thong thong"
6,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,83,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,"[Intro]
May I have your attention, please?
May I have your attention, please?
Will the real Slim Shady please stand up?
I repeat, will the real Slim Shady please stand up?
We're gonna have a problem here...

[Verse 1]
Y'all act like you never seen a white person before
Jaws all on the floor like Pam like Tommy just burst in the door
And started whoopin' her ass worse than before
They first were divorced, throwin' her over furniture (Agh!)
It's the return of the ""Oh, wait, no way, you're kidding
He didn't just say what I think he did, did he?""
And Dr. Dre said… nothing, you idiots!
Dr. Dre's dead, he's locked in my basement (Ha ha!)
Feminist women love Eminem
""Chicka, chicka, chicka, Slim Shady, I'm sick of him
Look at him, walkin' around, grabbin' his you-know-what
Flippin' the you-know-who,"" ""Yeah, but he's so cute though""
Yeah, I probably got a couple of screws up in my head loose
But no worse than what's goin' on in your parents' bedrooms
Sometimes I wanna get on TV and just let loose
But can't, but it's cool for Tom Green to hump a dead moose
""My bum is on your lips, my bum is on your lips""
And if I'm lucky, you might just give it a little kiss
And that's the message that we deliver to little kids
And expect them not to know what a woman's clitoris is
Of course, they're gonna know what intercourse is
By the time they hit fourth grade
They've got the Discovery Channel, don't they?
We ain't nothin' but mammals—well, some of us, cannibals
Who cut other people open like cantaloupes
But if we can hump dead animals and antelopes
Then there's no reason that a man and another man can't elope
But if you feel like I feel, I got the antidote
Women, wave your pantyhose, sing the chorus, and it goes—

[Chorus]
I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?

[Verse 2]
Will Smith don't gotta cuss in his raps to sell records (Nope)
Well, I do, so fuck him and fuck you too!
You think I give a damn about a GRAMMY?
Half of you critics can't even stomach me, let alone stand me
""But Slim, what if you win, wouldn't it be weird?""
Why, so you guys could just lie to get me here?
So you can sit me here next to Britney Spears?
Shit, Christina Aguilera better switch me chairs
So I can sit next to Carson Daly and Fred Durst
And hear 'em argue over who she gave head to first
Little bitch put me on blast on MTV
""Yeah, he's cute, but I think he's married to Kim, hee-hee""
I should download her audio on MP3
And show the whole world how you gave Eminem VD (Agh!)
I'm sick of you little girl and boy groups
All you do is annoy me, so I have been sent here to destroy you
And there's a million of us just like me
Who cuss like me, who just don't give a fuck like me
Who dress like me; walk, talk and act like me
And just might be the next best thing, but not quite me

[Chorus]
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?

[Verse 3]
I'm like a head trip to listen to, 'cause I'm only givin' you
Things you joke about with your friends inside your livin' room
The only difference is I got the balls to say it in front of y'all
And I don't gotta be false or sugarcoat it at all
I just get on the mic and spit it
And whether you like to admit it, I just shit it
Better than ninety percent of you rappers out can
Then you wonder: ""How can kids eat up these albums like Valiums?""
It's funny, 'cause at the rate, I'm going, when I'm thirty
I'll be the only person in the nursing home flirting
Pinching nurse's asses when I'm jacking off with Jergens
And I'm jerking, but this whole bag of Viagra isn't working
And every single person is a Slim Shady lurking
He could be working at Burger King, spittin' on your onion rings
Or in the parking lot, circling, screaming, ""I don't give a fuck!""
With his windows down and his system up
So will the real Shady please stand up
And put one of those fingers on each hand up?
And be proud to be outta your mind and outta control
And one more time, loud as you can, how does it go?

[Chorus]
I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?

[Outro]
Ha ha, I guess there's a Slim Shady in all of us
Fuck it, let's all stand up!

[Produced by Dr. Dre & Mel-Man]"
7,Rock DJ,Sing When You're Winning,Robbie Williams,2000-01-01,258560,68,https://open.spotify.com/track/4pbyDPjFgfPqFTcIMC8xpK,"[Verse 1]
Me with the floor show kicking with your torso
Boys getting high and the girls even more so
Wave your hands if you're not with the man
Can I kick it? (Yes you can)
I got (funk), you got (soul)
We got everybody
I've got the gift gonna stick it in the goal
It's time to move your body

[Pre-Chorus]
Babylon back in business
Can I get a witness?
Every girl, every man
Houston, do you hear me?
Ground control, can you feel me?
Need permission to land

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

[Verse 2]
Singing in the classes, music for your masses
Give no head no backstage passes
Have a proper giggle I'll be quite polite
But when I rock the mic, I rock the mic (Right)
You got no love then you're with the wrong man
It's time to move your body
If you can't get a girl but your best friend can
It's time to move your body

[Pre-Chorus]
I don't wanna be sleazy
Baby just tease me
Got no family planned
Houston, do you hear me?
Ground control, can you feel me?
Need permission to land

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

[Bridge]
Pimping ain't easy
Most of them fleece me
Every night
Pimping ain't easy
But if you're selling it
It's alright

Come on

[Chorus]
I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night

I don't wanna rock DJ
But you're making me feel so nice
When's it gonna stop DJ
Cause you're keeping me up all night"
8,Breathless,In Blue,The Corrs,2000-07-17,207506,67,https://open.spotify.com/track/5OQGeJ1ceykovrykZsGhqL,"[Intro]
Go on, go on
Leave me breathless
Come on...
Hey, yeah

[Verse 1]
The daylight's fading slowly
But time with you is standing still
I'm waiting for you only
The slightest touch and I feel weak

[Pre-Chorus 1]
I cannot lie
From you, I cannot hide
And I'm losing the will to try
Can't hide it (can't hide it)
Can't fight it (can't fight it)

[Chorus]
So go on, go on
Come on, leave me breathless
Tempt me, tease me
Until I can't deny this
Loving feeling
Make me long for your kiss
Go on, go on
Yeah, come on
Yeah

[Verse 2]
And if there's no tomorrow
And all we have is here and now
I'm happy just to have you
You're all the love I need somehow

[Pre-Chorus 2]
It's like a dream
Although I'm not asleep
And I never want to wake up
Don't lose it (don't lose it)
Don't leave it (don't leave it)

[Chorus]
So go on, go on
Come on, leave me breathless
Tempt me, tease me
Until I can't deny this
Loving feeling (loving feeling)
Make me long for your kiss
Go on (go on), go on (go on)
Yeah, come on
Yeah, yeah, yeah, yeah

[Bridge]
And I can't lie
From you I cannot hide
And I've lost my will to try
Can't hide it (can't hide it)
Can't fight it (can't fight it)

[Chorus]
So go on (go on), go on (go on)
Come on, leave me breathless
Tempt me, tease me
Until I can't deny this
Loving feeling (loving feeling)
Make me long for your kiss
Go on (go on), go on (go on)
Come on, leave me breathless (leave me breathless)
Go on (go on), go on (go on)
Come on, leave me breathless (leave me breathless)
Go on (go on), go on (go on)
Come on, leave me breathless (leave me breathless)
Go on, go on"
9,Can't Fight The Moonlight,I Need You,LeAnn Rimes,2001-01-30,215506,65,https://open.spotify.com/track/2AogRMqARWyUP7VQ3gmSoY,"[Verse 1]
Under a lovers' sky
Gonna be with you
And no one's gonna be around
If you think that you won't fall
Well, just wait until
'Til the sun goes down

[Pre-Chorus]
Underneath the starlight, starlight
There's a magical feeling, so right
It will steal your heart tonight

[Chorus]
You can try to resist
Try to hide from my kiss
But you know, but you know that you
Can't fight the moonlight
Deep in the dark, you'll surrender your heart
But you know, but you know that you
Can't fight the moonlight
No, you can't fight it
It's gonna get to your heart

[Verse 2]
There's no escaping love
Once a gentle breeze
Weaves its spell upon your heart
No matter what you think
It won't be too long (not too long)
'Til you're in my arms

[Pre-Chorus]
Underneath the starlight, starlight
We'll be lost in the rhythm, so right
Feel it steal your heart tonight

[Chorus]
You can try to resist
Try to hide from my kiss
But you know, but you know that you
Can't fight the moonlight
Deep in the dark, you'll surrender your heart
But you know, but you know that you can't
Can't fight the moonlight
No, you can't fight it
No, matter what you do (no matter what you do)
The night is gonna get to you

[Bridge]
(Never know
Cannot know)
Don't try, you're never gonna win

[Pre-Chorus]
Underneath the starlight, starlight
There's a magical feeling, so right
It will steal your heart tonight

[Chorus]
You can try
(You can try to resist, try to hide from my kiss but you know)
But you know that you (you know that you)
Can't fight the moonlight
Deep in the dark (deep in the dark)
You'll surrender your heart
But you know, but you know that you
Can't fight the moonlight, no, you can't fight it
(You can try) You can try to resist my kiss
But you know, don't you know that you can't?
Can't fight the moonlight deep in the dark
You'll surrender your heart (surrender your heart)
But you know, but you know that you
Can't fight the moonlight
No, you can't fight it
It's gonna get to your heart"
