,50s,60s,70s,80s,90s,00s,10s
about,0.020190532263150384,0.05023817997195928,-0.05761811358711123,-0.03873889638640748,0.03717103967477546,0.0048246178866220586,-0.016067359823007606
abov,0.2200806353822672,0.012797588018925915,-0.25579364119534925,-0.10283285170810944,-0.06463109514747924,0.39234484606027015,-0.20196548141059445
after,0.23720686058233087,-0.07805284381923082,-0.03635139692886848,0.010964662148503166,-0.04586123277711585,-0.10808330735028014,0.02017725814466296
again,0.08597646046455032,-0.03025289593604746,0.022068193412323574,-0.02854423252620337,0.03760120271542927,-0.033722947088562556,-0.05312578104147684
ah,-0.0048787553420165004,0.039458596272652094,-0.046186196636390606,-0.07526786047049525,0.045462824261752986,0.004024769154983415,0.03738662275950171
aint,0.055082687684570995,0.16104866697806614,0.004233846888172899,-0.07014886853237012,-0.03747687610640151,-0.06257690762029927,-0.050162549291681034
air,-0.6662305868249878,-0.18820168384030952,0.2845778123894598,0.04780507701475045,0.12016101374259416,0.20873361920383196,0.19315474831463142
aliv,-0.13794842369608898,-0.19684616854840456,0.1517226891311127,-0.009809392090279472,-0.016377157183302935,0.09489204069147666,0.1143664116954524
all,-0.04765027161659208,-0.008782801947770914,0.0002303581219827672,0.022924505597068996,-0.022280675342224693,0.02617128643652095,0.02938759875100327
alon,-0.08828768509883296,-0.1810194899537895,-0.044970499887934945,-0.008991151649288457,0.10989843841105733,0.09860663913340359,0.11476374904538732
along,0.25618694281432564,0.12505650648864733,0.143713823541371,-0.3719645155218958,-0.022934042452716213,-0.026752307586144223,-0.10330640728355678
alright,-0.49157005871517234,0.05573350202257487,0.09352059053886182,0.11008187026969263,0.11002443105219249,0.06278509703626618,0.05942456779556211
alway,-0.08380154270077711,-0.15520072864236464,0.016409564562015633,-0.014723610129359393,0.12866357784871457,0.141092816433797,-0.03244007737198268
am,-0.10128220893549043,-0.11533147943092588,-0.005185094994964829,0.06077849307487765,0.0534805120251872,0.019654783309008106,0.08788499495229168
an,0.10960822902677597,-0.01793067732542292,0.10475852765764095,0.04069993661825139,0.01799142690520024,-0.10818497025894214,-0.14694247262350596
and,-0.04225483268534396,0.05494871457760988,-0.004978567991667731,-0.0264245293667493,0.004205406995562725,0.025607183360691187,-0.011103374890159324
angel,0.05676637913863722,-0.31003381643625577,-0.10588422654395845,0.047990111502360974,0.14069640912128267,0.09857847671137669,0.07188666650661216
ani,0.0539461905539846,0.15980993250087958,-0.2963919542523786,0.09823735078268231,0.03410023657000938,0.032199597678442715,-0.081901353833605
anoth,-0.2705725510624413,0.04363895514248215,-0.1398274097367198,0.09519932589702963,0.0843197830425103,0.06637350181170855,0.12086839490543781
anymor,0.019658991368667618,-0.1655656815756686,-0.03610014501714896,0.030123511379727384,-0.03647319537107144,0.094557045356888,0.09379947385860357
anyth,-0.42942227784849124,-0.3600397304125253,0.0220277980737836,0.1580766047778542,0.186995851270173,0.20396808980162823,0.21839366433749693
apart,0.20753556253311797,-0.17737315800104272,-0.41126083945436576,0.11380135705289991,0.17120442139646788,-0.07289194427961865,0.16898460075259508
are,-0.09058415166582129,0.028918582441377752,0.006945166340655964,-0.017940953041142984,0.02660180458898764,0.003843157891319153,0.04221639344464025
arm,0.033513228548314844,0.11585111853337492,-0.15797498235693022,0.03796062002986645,-0.004779813569799352,0.1489681869624457,-0.1735383581473113
around,0.03628051840047238,0.06562586148138591,-0.05770860707924491,0.010308461888069546,0.03946833078734007,-0.033820186037560956,-0.06015437944043948
as,-0.0021686584856558328,-0.03247481345582583,0.040870526456172604,-0.018125696040570616,0.016753125082735656,0.0033380343643212526,-0.008192517921172999
ask,0.03725565636106502,-0.13739176260130867,0.036964846081718496,0.08992737354921808,0.10303360395931696,-0.0630819647802726,-0.06670775256972303
ass,-1.0760397883535164,0.4487940779668323,0.19674089651852625,-0.8684879025189497,0.35201699849817025,0.5407915065207227,0.40618421136819305
at,0.08686495510226995,0.06585422921175094,-0.06774516936484441,-0.03120298363451819,-0.05652098922342613,-0.016981435620269682,0.01973139352903844
away,-0.04589220493007254,0.021678053507490164,0.0210684364648411,0.005125729827251869,-0.0031980990734590707,0.006304471415431864,-0.0050863872114922225
ayi,0.4474133336782353,-0.3868901002878604,-0.26122530027476276,-0.5664918472532884,-0.1685763992992738,0.4862664318496998,0.4495038815873628
babe,0.17310577706705918,0.09237141804815514,9.058724017133638e-05,-0.019653037680844462,-0.034022273899257355,-0.1186896756211365,-0.09320279515412382
