,50s,60s,70s,80s,90s,00s,10s
about,0.1014032022711314,0.26400484570126814,-0.6952597230114377,-0.03256388333367509,0.8463278018573319,0.15451941086971285,-0.6384316543543395
abov,1.1213590378988132,-0.241737711843425,-0.6245369991786489,-0.531736658286656,-0.07850781459860216,1.049643193986505,-0.6944830479779857
after,0.15645554003964457,-0.44363944913629694,-0.06598136846933009,0.5279442430140202,-0.10234488662692966,-0.4527851751023041,0.38035109628119707
again,0.5802431548745004,-0.3054700760368295,0.8124515086220307,-0.41703321389316217,0.22251717252357867,0.08836504854387513,-0.9810735946339815
ah,0.21190812300372514,0.7797015814857389,-0.7050567227953969,-0.6941115449611562,0.464546928169061,-0.27751318156582255,0.22052481666385365
aint,0.010268490628833801,2.1904508098907334,-0.346335381250364,-1.188551865036535,-0.46263196747893015,-0.038902499517074654,-0.1642975872366801
air,-0.6285313177946914,-0.7553396166066311,0.5366047818342102,-0.15938311786738116,-0.04879194995784362,0.5233339346415969,0.5321072857507333
aliv,-0.6260247353420029,-0.8811112594248771,0.5477468593745803,0.040746220935822856,0.03957833664662687,0.179351642184029,0.6997129356258179
all,-0.7823381532506857,-0.3578621149513314,-0.047727577884790935,0.7339635333203485,-0.5926895210495362,0.5953677254801535,0.4512861083358402
alon,0.5086859520877851,-0.6829188931038181,-0.20426680193923918,-0.46354456525992144,0.5273370393730898,-0.04338939325901018,0.35809666210111324
along,0.29794549480222743,0.36959336368423074,0.7975914927870333,-0.95826163586374,0.09481389455626152,0.10564533653257531,-0.7073279464985913
alright,-1.4034941001794559,-0.19086425016864586,0.3160156330518689,-0.04813722181072151,1.4766306909811433,0.21533444191831905,-0.3654851937925026
alway,-0.3963989952140814,-0.9274399374248142,0.045647877769297816,-0.17442823504133104,1.563716893394044,0.7766471429731282,-0.8877447464562443
am,-0.6235856529777181,-0.7060048327927633,-0.4449473131308971,0.514243687704662,0.49986431037306517,0.11048781354584923,0.6499419872778016
an,0.3926613640169425,-0.34344502905501045,0.05845158148227541,0.5127012326478476,0.36804040822290535,-0.30561872717140937,-0.6827908301435447
