,name,album,artist,release date,length,popularity,lyrics
0,In the End,Hybrid Theory (Bonus Edition),Linkin Park,2000-10-24,216880,82,"

[Verse 1: Mike Shinoda & Chester Bennington]
(It starts with one) One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To explain in due time all I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away, it's so unreal (It's so unreal)
Didn't look out below
Watch the time go right out the window
Tryin' to hold on, didn't even know
I wasted it all just to watch you go

[Pre-Chorus: Mike Shinoda]
I kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

[Chorus: Chester Bennington]
I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter

[Verse 2: Mike Shinoda & Chester Bennington]
One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To remind myself how I tried so hard
In spite of the way you were mockin' me
Actin' like I was part of your property
Rememberin' all the times you fought with me
I'm surprised it got so far
Things aren't the way they were before
You wouldn't even recognize me anymore
Not that you knew me back then
But it all comes back to me in the end

[Pre-Chorus: Mike Shinoda]
You kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

[Chorus: Chester Bennington]
I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter

[Bridge: Chester Bennington]
I've put my trust in you
Pushed as far as I can go
For all this
There's only one thing you should know
I've put my trust in you
Pushed as far as I can go
For all this
There's only one thing you should know

[Chorus: Chester Bennington]
I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter

"
1,Last Resort,Infest,Papa Roach,2001-04-25,199906,79,"

[Intro]
Cut my life into pieces, this is my last resort
Suffocation, no breathing
Don't give a fuck, if I cut my arm bleeding
This is my last resort

[Verse 1]
Cut my life into pieces
I've reached my last resort – suffocation, no breathing
Don't give a fuck, if I cut my arms bleeding
Do you even care, if I die bleeding?
Would it be wrong, would it be right
If I took my life tonight? Chances are that I might
Mutilation out of sight
And I'm contemplatin' suicide

[Chorus]
'Cause I'm losin' my sight, losin' my mind
Wish somebody would tell me I'm fine
Losin' my sight, losin' my mind
Wish somebody would tell me I'm fine

[Verse 2]
I never realized I was spread too thin
'Til it was too late and I was empty within
Hungry, feeding on chaos and livin' in sin
Downward spiral, where do I begin?
It all started when I lost my mother
No love for myself and no love for another
Searchin' to find a love upon a higher level
Findin' nothin' but questions and devils

[Chorus]
'Cause I'm losin' my sight, losin' my mind
Wish somebody would tell me I'm fine
Losin' my sight, losin' my mind
Wish somebody would tell me I'm fine

[Bridge]
Nothing's alright, nothing is fine
I'm runnin' and I'm crying
I'm crying, I'm crying
I'm crying, I'm crying
I can't go on living this way

[Verse 3]
Cut my life into pieces
This is my last resort
Suffocation, no breathing
Don't give a fuck if I cut my arm bleeding
Would it be wrong, would it be right
If I took my life tonight? Chances are that I might
Mutilation out of sight
And I'm contemplating suicide

[Chorus]
'Cause I'm losin' my sight, losin' my mind
Wish somebody would tell me I'm fine
Losin' my sight, losin' my mind
Wish somebody would tell me I'm fine

[Outro]
Nothing's alright, nothing is fine
I'm runnin' and I'm crying
I can't go on living this way
Can't go on living this way
Nothing's alright

"
2,Kryptonite,The Better Life,3 Doors Down,2000,233933,78,"

[Verse 1]
Well, I took a walk around the world to ease my troubled mind
I left my body lying somewhere in the sands of time
But I watched the world float to the dark side of the moon
I feel there's nothing I can do, yeah

[Verse 2]
I watched the world float to the dark side of the moon
After all I knew, it had to be something to do with you
I really don't mind what happens now and then
As long as you'll be my friend at the end

[Chorus]
If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there and holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite

[Verse 3]
You called me strong, you called me weak
But still your secrets, I will keep
You took for granted all the times, I never let you down
You stumbled in and bumped your head
If not for me then you'd be dead
I picked you up and put you back on solid ground

[Chorus]
If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there and holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite

[Instrumental Interlude]

[Chorus]
If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite, yeah
If I go crazy, then will you still call me Superman?
If I'm alive and well, will you be there and holding my hand?
I'll keep you by my side with my superhuman might
Kryptonite

[Outro]
Whoa, whoa, whoa
Whoa, whoa, whoa
Whoa, whoa, whoa

"
3,It's My Life,Crush,Bon Jovi,2000-01-01,224493,78,"

[Verse 1]
This ain't a song for the broken-hearted (woah oh, woah oh, oh)
No silent prayer for the faith-departed
I ain't gonna be just a face in the crowd
You're gonna hear my voice when I shout it out loud

[Chorus]
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) My heart is like an open highway
Like Frankie said, ""I did it my way""
I just wanna live while I'm alive
It's my life

[Verse 2]
This is for the ones who stood their ground
For Tommy and Gina who never backed down
Tomorrow's getting harder make no mistake
Luck ain't even lucky, got to make your own breaks

[Chorus]
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) My heart is like an open highway
Like Frankie said, ""I did it my way""
I just wanna live while I'm alive
'Cause it's my life

[Bridge]
Better stand tall when they're calling you out
Don't bend, don't break, baby, don't back down

[Chorus]
It's my life, it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) My heart is like an open highway
Like Frankie said, ""I did it my way""
I just wanna live while I'm alive
It's my life
And it's now or never
I ain't gonna live forever
I just want to live while I'm alive
(It's my life) My heart is like an open highway
Like Frankie said, ""I did it my way""
I just wanna live while I'm alive
It's my life

"
4,Hanging By A Moment,No Name Face,Lifehouse,2000-01-01,216360,61,"

[Verse 1]
Desperate for changing
Starving for truth
I'm closer to where I started
I'm chasing after you

[Chorus]
I'm falling even more in love with you
Letting go of all I've held onto
I'm standing here until you make me move
I'm hanging by a moment here with you

[Verse 2]
Forgetting all I'm lacking
Completely incomplete
I'll take your invitation
You take all of me now

[Chorus]
I'm falling even more in love with you
Letting go of all I've held onto
I'm standing here until you make me move
I'm hanging by a moment here with you
I'm living for the only thing I know
I'm running and not quite sure where to go
And I don't know what I'm diving into
Just hanging by a moment here with you

[Bridge]
There's nothing else to lose
There's nothing else to find
There's nothing in the world
That can change my mind
There is nothing else
There is nothing else
There is nothing else

[Verse 1]
Desperate for changing
Starving for truth
I'm closer to where I started
I'm chasing after you

[Chorus]
I'm falling even more in love with you
Letting go of all I've held onto
I'm standing here until you make me move
I'm hanging by a moment here with you
I'm living for the only thing I know
I'm running and not quite sure where to go
And I don't know what I'm diving into
Just hanging by a moment here with you

[Outro]
Just hanging by a moment (Here with you)
Hanging by a moment (Here with you)
Hanging by a moment (Here with you)
Hanging by a moment here with you

"
5,Beautiful Day,All That You Can't Leave Behind,U2,2000-01-01,248400,72,"

[Verse 1]
The heart is a bloom, shoots up through the stoney ground
There's no room, no space to rent in this town
You're out of luck, and the reason that you had to care
The traffic is stuck, and you're not moving anywhere
You thought you'd found a friend to take you out of this place
Someone you could lend a hand in return for grace

[Chorus]
It's a beautiful day
Sky falls, you feel like
It's a beautiful day
Don't let it get away

[Verse 2]
You're on the road, but you've got no destination
You're in the mud, in the maze of her imagination
You love this town even if that doesn't ring true
You've been all over, and it's been all over you

[Chorus]
It's a beautiful day
Don't let it get away
It's a beautiful day
Ooh-hoo-hoo

[Post-Chorus]
Touch me
Take me to that other place
Teach me
I know I'm not a hopeless case

[Bridge]
See the world in green and blue
See China right in front of you
See the canyons broken by cloud
See the tuna fleets clearing the sea out
See the Bedouin fires at night
See the oil fields at first light
And see the bird with a leaf in her mouth
After the flood all the colours came out

[Chorus]
It's a beautiful day
Don't let it get away
Beautiful day

[Post-Chorus]
Touch me
Take me to that other place
Reach me
I know I'm not a hopeless case

[Outro]
What you don't have you don't need it now
What you don't know you can feel it somehow
What you don't have you don't need it now
Don't need it now
Was a beautiful day

"
6,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,2000-10-17,321040,71,"

[Intro (Video version only)]
""Mr. Durst?""
""Yeah?""
""We need your help. Pulling into the diner about now should be four top-secret agents. One of them is carrying a briefcase. Your mission is to obtain the disc from the briefcase.""

[Verse 1]
All the tension in the world today
All the little girls fillin' up the world today
When the good comes to bad, the bad comes to good
But I'ma live my life like I should (Like I should)
Now all the critics wanna hit it
Ya shit can how we did it, just because they don't get it
But I'll stay fitted, new era committed
Now this red cap gets a rap from these critics
But do we always gotta cry?
Do we always gotta live inside a lie?
Life's just a blast that's movin' really fast
You better stay on top or life will kick you in the ass
Follow me into a solo
Remember that, kid? So what you wanna do?
And where you gonna run when you're starin' down the cable of a
Mic pointed at your grill like a gun?
Limp Bizkit is rockin' the set
It's like Russian Roulette, when you're placin', you bet
So don't be upset when you're broke and you're done
'Cause I'ma be the one till I jet (I'ma be the one till I jet)

[Chorus 1]
I know why you wanna hate me
I know why you wanna hate me
I know why you wanna hate me
'Cause hate is all the world has even seen lately
I know why you wanna hate me (Wanna hate me)
I know why you wanna hate me (Wanna hate me)
Now I know why you wanna hate me
'Cause hate is all the world has even seen lately!

[Refrain]
And now you wanna hate me!
'Cause hate is all the world has even seen lately!
And now you wanna hate me!
'Cause hate is all the world has even seen lately!

[Verse 2: Fred Durst]
Does anybody really know the secret?
Or the combination for this life and where they keep it?
It's kinda sad when you don't know the meanin'
But everything happens for a reason (Everything happens for a reason)
I don't even know what I should say
'Cause I'm an idiot, a loser, microphone abuser
I analyze every second I exist
Beatin' up my mind every second with my fists
And everybody wanna run (Wanna run)
Everybody wanna hide from the gun (Hide from the gun)
You can take that ride through this life, if you want
But you can't take the edge off the knife (No, sir!)
And now you want your money back (Your money back)
But you're denied 'cause your brain's fried from the sack
And there ain't nothin' I can do
'Cause life is a lesson, you learn it when you're through

[Chorus 1]
I know why you wanna hate me
I know why you wanna hate me
I know why you wanna hate me
'Cause hate is all the world has even seen lately
I know why you wanna hate me (Wanna hate me)
I know why you wanna hate me (Wanna hate me)
Now I know why you wanna hate me
'Cause hate is all the world has even seen lately!

[Refrain]
And now you wanna hate me!
'Cause hate is all the world has even seen lately!
And now you wanna hate me!
'Cause hate is all the world has even seen lately!

[Bridge]
(Shhhhhh...)
Now I know why
Now I know why (I know why you wanna hate me)
Now I know why (I know why you wanna hate me)
Now I know why (I know why you wanna hate me)

[Chorus 2]
Now I know why you wanna hate me!
Now I know why you wanna hate me!
Now I know why you wanna hate me!
'Cause hate is all the world has even seen lately!
'Cause hate is all the world has even seen lately!
'Cause hate is all the world has even seen lately!

[Outro (Video version only)]
""Hello?""
""Mr. Durst? Abort the mission, the man in the diner had decoys. Thanks anyway.""
""This message will self-destruct in five seconds.""

"
7,Original Prankster,Conspiracy Of One,The Offspring,2000-11-14,220946,62,"

[Intro]
You can do it!

[Verse 1: Offspring]
Until the break of dawn - life, life
Cannot go by the letter - time, time
Prozac can make it better - noise, noise
Any kind will do;
Can you feel it slip away when it's all on you (hey, hey)
Crime, crime - rockin' like Janet Reno - time time
Eighteen and life in Chino - Freud, Freud
All along it's true;
Well you'll see there comes a day catches up to you, yeah!

[Chorus: Offspring and Redman]
Knock down the walls - it's alive in you!
Knock down the place - you're alone, it's true!
Knock down the walls - it's alive in you!
You gotta keep your head up through it all
You're gonna bust out on it (Original Prankster)
Break out, yeah! (Original, yeah)
Bust out on it (Original Prankster)
You never stop now, stop now
That's what the main man say!

[Interlude]
You can do it!

[Verse 2: Offspring]
You know it smells like shit - God damn!
Tag Team the Double Header
Son of Sam; fire always makes it better
Navigate with style and aplomb
Cause wherever you're at, that's the tip youse on (hey, hey)
Lies lies - says he's down in the Bahamas - tries tries
Bangin' little hoochie mamas - no way
None of this is true
Well you'll see there comes a day when the joke's on you yeah!

[Chorus]
Knock down the walls - it's alive in you!
Knock down the place - you're alone, it's true!
Knock down the walls - it's alive in you!
You gotta keep your head up through it all
You're gonna bust out on it (Original Prankster)
Break out, yeah! (Original, yeah)
Bust out on it (Original Prankster)
You never stop now, stop now
That's what the main man say!

[Interlude]
(Hey) You can do it

[Bridge]
Dime, dime - so good to see ya
Nine, nine - don't wanna be ya[x2]
Crime, crime - fine sensimilla[x3]
Well you'll see there comes a day catches up to you, yeah!

[Chorus]
Knock down the walls - it's alive in you!
Knock down the place - you're alone, it's true!
Knock down the walls - it's alive in you!
You gotta keep your head up through it all
You're gonna bust out on it (Original Prankster)
Break out, yeah! (Original, yeah)
Bust out on it (Original Prankster)
You never stop now, stop now
Stop now stop now that's what the main man say!

"
8,One Step Closer,Hybrid Theory (Bonus Edition),Linkin Park,2000-10-24,157333,74,"

[Verse 1: Chester Bennington]
I cannot take this anymore
Saying everything I've said before
All these words they make no sense
I find bliss in ignorance
Less I hear, the less you say
You'll find that out anyway

[Pre-Chorus: Chester Bennington]
Just like before

[Chorus: Chester Bennington & Mike Shinoda]
Everything you say to me
Takes me one step closer to the edge
And I'm about to break
I need a little room to breathe
'Cause I'm one step closer to the edge
I'm about to break

[Verse 2: Chester Bennington]
I find the answers aren't so clear
Wish I could find a way to disappear
All these thoughts they make no sense
I find bliss in ignorance
Nothing seems to go away
Over and over again

[Pre-Chorus: Chester Bennington]
Just like before

[Chorus: Chester Bennington & Mike Shinoda]
Everything you say to me
Takes me one step closer to the edge
And I'm about to break
I need a little room to breathe
'Cause I'm one step closer to the edge
I'm about to break
Everything you say to me
Takes me one step closer to the edge
And I'm about to break
I need a little room to breathe
'Cause I'm one step closer to the edge
And I'm about to
Break!

[Bridge: Chester Bennington]
Shut up when I'm talking to you!
Shut up!
Shut up!
Shut up!
Shut up when I'm talking to you!
Shut up!
Shut up!
Shut up!
Shut up!
I'm about to break!

[Chorus: Chester Bennington & Mike Shinoda]
Everything you say to me
Takes me one step closer to the edge
And I'm about to break
I need a little room to breathe
'Cause I'm one step closer to the edge
I'm about to break
Everything you say to me
Takes me one step closer to the edge
And I'm about to break
I need a little room to breathe
'Cause I'm one step closer to the edge
And I'm about to
Break!

"
9,Between Angels And Insects,Infest,Papa Roach,2001-04-25,234466,64,"

[Chorus]
There's no money, there's no possessions, only obsession
I don't need that shit
Take my money, take my obsession

[Verse 1]
I just want to be heard
Loud and clear are my words
Coming from within man
Tell them what you heard
It's about a revolution
In your heart and in your mind
You can find the conclusion
Lifestyle and obsession
Diamond rings get you nothin'
But a lifelong lesson
And your pocketbook stressin'
You're a slave to the system
Working jobs that you hate
For that shit you don't need
It's too bad the world is based on greed
Step back and see
Stop thinking about yourself
Start thinking about

[Chorus]
There's no money, there's no possessions, only obsession
I don't need that shit
Take my money, take my possessions, take my obsession
I don't need that shit

[Verse 2]
Because everything is nothing, and emptiness is in everything
This reality is really just a fucked up dream
With the flesh and the blood that you call your soul
Flip it inside out It's a big black hole
Take your money burn it up like an asteroid
Possessions, they are never going to fill the void
Take it away and learn the best lesson
The heart, the soul, the life, the passion

[Chorus]
There's no money, there's no possessions, only obsession
I don't need that shit
Take my money, take my possessions, take my obsession
I don't need that shit

Money, possessions, obsession

[Bridge]
Present yourself, press your clothes
Comb your hair, clock in
You just can't win, just can't win
The things you own, own you. No!

Take my money, take my possessions, take my obsession
I don't need that shit
Fuck your money, fuck your possessions, fuck your obsession
I don't need that shit

[Outro]
Money, possession, obsession
I don't need that shit

"
